gene_id	symbol
Rv0287	esxG
Rv0288	esxH
Rv1037c	esxI
Rv1038c	esxJ
Rv1197	esxK
Rv1198	esxL
Rv1792	esxM
Rv1793	esxN
Rv2346c	esxO
Rv2347c	esxP
Rv3017c	esxQ
Rv3019c	esxR
Rv3020c	esxS
Rv3444c	esxT
Rv3445c	esxU
Rv3619c	esxV
Rv3620c	esxW
Rv3874	esxB
Rv3875	esxA
Rv3890c	esxC
Rv3891c	esxD
Rv3904c	esxE
Rv3905c	esxF
